Chirps,Temperature
33.4,30.5
28.8,24.0
33.7,28.8
39.4,34.8
41.9,36.9
24.1,19.3
37.3,33.7
43.2,39.6
44.6,40.7
29.3,24.4
25.8,20.8
26.9,21.3
33.7,31.2
43.2,38.8
16.9,12.0
40.2,34.9
34.5,29.6
37.5,32.0
24.2,22.3
35.1,34.6
38.7,35.2
28.7,23.6
33.7,28.2
30.0,24.2
18.6,17.5
16.4,13.1
40.4,36.0
41.9,38.6
23.0,21.6
41.3,38.1
42.0,39.9
40.8,40.7
30.5,30.4
23.5,22.8
17.1,12.3
18.1,15.1
24.8,20.7
22.7,20.3
42.3,42.1
29.1,27.8
21.5,16.5
44.0,40.4
42.6,42.0
17.2,14.3
16.7,12.3
40.7,36.9
35.0,33.1
24.9,21.7
27.0,23.4
34.5,31.4
24.5,23.1
16.6,12.5
39.3,37.0
39.4,38.4
39.1,35.4
30.9,27.3
39.8,37.6
25.3,24.6
19.6,17.7
40.9,37.9
41.4,37.4
17.2,14.9
26.8,21.8
19.1,14.7
25.9,25.6
44.2,39.3
31.4,27.9
41.0,38.8
42.5,37.4
32.5,27.6
16.5,13.9
17.7,14.0
21.4,19.3
21.0,18.9
27.6,22.6
21.8,16.5
43.2,43.0
20.4,19.8
22.4,21.7
20.9,19.8
29.7,27.4
36.2,32.5
21.0,20.7
33.0,32.7
38.9,35.0
15.1,14.4
26.7,23.3
26.0,20.3
28.4,25.2
33.5,31.7
19.3,16.9
15.1,13.2
43.5,41.7
24.5,18.7
34.1,32.8
42.2,39.1
22.2,16.2
24.2,19.8
20.4,16.1
21.6,20.6
